TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF
1/4/1999,1.1789,A,F
1/5/1999,1.179,A,F
1/6/1999,1.1743,A,F
1/7/1999,1.1632,A,F
1/8/1999,1.1659,A,F
1/11/1999,1.1569,A,F
1/12/1999,1.152,A,F
1/13/1999,1.1744,A,F
1/14/1999,1.1653,A,F
1/15/1999,1.1626,A,F
1/18/1999,1.1612,A,F
1/19/1999,1.1616,A,F
1/20/1999,1.1575,A,F
1/21/1999,1.1572,A,F
1/22/1999,1.1567,A,F
1/25/1999,1.1584,A,F
1/26/1999,1.1582,A,F
1/27/1999,1.1529,A,F
1/28/1999,1.141,A,F
1/29/1999,1.1384,A,F
2/1/1999,1.1338,A,F
2/2/1999,1.1337,A,F
2/3/1999,1.1337,A,F
2/4/1999,1.1263,A,F
2/5/1999,1.1292,A,F
2/8/1999,1.1246,A,F
2/9/1999,1.1333,A,F
2/10/1999,1.1342,A,F
2/11/1999,1.1312,A,F
2/12/1999,1.1244,A,F
2/15/1999,1.1238,A,F
2/16/1999,1.1176,A,F
2/17/1999,1.1253,A,F
2/18/1999,1.1232,A,F
2/19/1999,1.1163,A,F
2/22/1999,1.0992,A,F
2/23/1999,1.0969,A,F
2/24/1999,1.1037,A,F
2/25/1999,1.1031,A,F
2/26/1999,1.1018,A,F
3/1/1999,1.0986,A,F
3/2/1999,1.0887,A,F
3/3/1999,1.0899,A,F
3/4/1999,1.0866,A,F
3/5/1999,1.0834,A,F
3/8/1999,1.0908,A,F
3/9/1999,1.0863,A,F
3/10/1999,1.0953,A,F
3/11/1999,1.0891,A,F
3/12/1999,1.0932,A,F
3/15/1999,1.0949,A,F
3/16/1999,1.0901,A,F
3/17/1999,1.0966,A,F
3/18/1999,1.1012,A,F
3/19/1999,1.0915,A,F
3/22/1999,1.0864,A,F
3/23/1999,1.0896,A,F
3/24/1999,1.0928,A,F
3/25/1999,1.0898,A,F
3/26/1999,1.0815,A,F
3/29/1999,1.0692,A,F
3/30/1999,1.0711,A,F
3/31/1999,1.0742,A,F
4/1/1999,1.0772,A,F
4/2/1999,1.0772,A,F
4/5/1999,1.0752,A,F
4/6/1999,1.0726,A,F
4/7/1999,1.0812,A,F
4/8/1999,1.0818,A,F
4/9/1999,1.0778,A,F
4/12/1999,1.0867,A,F
4/13/1999,1.0765,A,F
4/14/1999,1.0787,A,F
4/15/1999,1.0786,A,F
4/16/1999,1.0668,A,F
4/19/1999,1.0636,A,F
4/20/1999,1.0646,A,F
4/21/1999,1.0586,A,F
4/22/1999,1.0581,A,F
4/23/1999,1.0634,A,F
4/26/1999,1.0614,A,F
4/27/1999,1.063,A,F
4/28/1999,1.0666,A,F
4/29/1999,1.0604,A,F
4/30/1999,1.0597,A,F
5/3/1999,1.0589,A,F
5/4/1999,1.0564,A,F
5/5/1999,1.0667,A,F
5/6/1999,1.0799,A,F
5/7/1999,1.0786,A,F
5/10/1999,1.0735,A,F
5/11/1999,1.0732,A,F
5/12/1999,1.0645,A,F
5/13/1999,1.0622,A,F
5/14/1999,1.0676,A,F
5/17/1999,1.0685,A,F
5/18/1999,1.069,A,F
5/19/1999,1.0634,A,F
5/20/1999,1.0639,A,F
5/21/1999,1.0572,A,F
5/24/1999,1.0585,A,F
5/25/1999,1.0627,A,F
5/26/1999,1.0535,A,F
5/27/1999,1.0473,A,F
5/28/1999,1.0479,A,F
5/31/1999,1.0456,A,F
6/1/1999,1.0434,A,F
6/2/1999,1.0382,A,F
6/3/1999,1.0382,A,F
6/4/1999,1.0315,A,F
6/7/1999,1.0316,A,F
6/8/1999,1.0385,A,F
6/9/1999,1.0466,A,F
6/10/1999,1.0474,A,F
6/11/1999,1.0474,A,F
6/14/1999,1.0437,A,F
6/15/1999,1.0392,A,F
6/16/1999,1.0345,A,F
6/17/1999,1.034,A,F
6/18/1999,1.0388,A,F
6/21/1999,1.0339,A,F
6/22/1999,1.0313,A,F
6/23/1999,1.028,A,F
6/24/1999,1.0321,A,F
6/25/1999,1.0443,A,F
6/28/1999,1.0388,A,F
6/29/1999,1.0364,A,F
6/30/1999,1.0328,A,F
7/1/1999,1.0264,A,F
7/2/1999,1.0241,A,F
7/5/1999,1.0232,A,F
7/6/1999,1.0221,A,F
7/7/1999,1.0222,A,F
7/8/1999,1.0182,A,F
7/9/1999,1.0204,A,F
7/12/1999,1.0124,A,F
7/13/1999,1.0183,A,F
7/14/1999,1.0168,A,F
7/15/1999,1.0201,A,F
7/16/1999,1.0202,A,F
7/19/1999,1.0146,A,F
7/20/1999,1.041,A,F
7/21/1999,1.0462,A,F
7/22/1999,1.0499,A,F
7/23/1999,1.0496,A,F
7/26/1999,1.0698,A,F
7/27/1999,1.0627,A,F
7/28/1999,1.0603,A,F
7/29/1999,1.068,A,F
7/30/1999,1.0694,A,F
8/2/1999,1.0665,A,F
8/3/1999,1.0645,A,F
8/4/1999,1.0761,A,F
8/5/1999,1.0791,A,F
8/6/1999,1.074,A,F
8/9/1999,1.0705,A,F
